iter	Passed	Remaining
0	1	146
1	2	109
2	3	115
3	4	119
4	5	106
5	6	108
6	8	117
7	10	118
8	11	114
9	12	114
10	14	114
11	15	114
12	17	114
13	18	113
14	19	112
15	21	111
16	22	111
17	24	110
18	25	107
19	26	105
20	27	104
21	29	103
22	30	102
23	31	100
24	33	99
25	34	97
26	35	96
27	37	95
28	38	94
29	39	92
30	40	90
31	42	89
32	43	88
33	44	86
34	45	83
35	46	82
36	47	81
37	48	79
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	55	71
44	57	69
45	58	68
46	59	67
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	57
55	71	55
56	72	54
57	73	53
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	105	18
85	106	17
86	107	16
87	109	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	116	7
94	116	6
95	118	4
96	119	3
97	120	2
98	121	1
99	123	0
